State,County,Geographic Area Name,Population 16 years and over,Population 16 years and over: Labor Force Participation Rate,Population 16 years and over: Employment/Population Ratio,Population 16 years and over: Unemployment rate
13,109,"Evans County, Georgia",8216,57.5,53.6,6.8
13,111,"Fannin County, Georgia",21971,48.1,45.4,5.4
13,113,"Fayette County, Georgia",95914,59.8,57.3,3.9
13,115,"Floyd County, Georgia",78821,57.8,55.3,4.1
13,117,"Forsyth County, Georgia",194590,69.6,66.9,3.7
13,119,"Franklin County, Georgia",19104,53.0,49.8,6.2
13,121,"Fulton County, Georgia",863381,68.9,65.1,5.4
13,123,"Gilmer County, Georgia",26144,53.2,51.9,2.4
13,125,"Glascock County, Georgia",2362,56.9,55.9,1.6
13,127,"Glynn County, Georgia",68635,57.7,55.1,4.3
13,129,"Gordon County, Georgia",45439,59.9,58.1,3.0
13,131,"Grady County, Georgia",20384,56.7,54.2,4.4
13,133,"Greene County, Georgia",15968,48.9,46.1,5.4
13,135,"Gwinnett County, Georgia",736740,68.4,65.6,4.1
13,137,"Habersham County, Georgia",37580,57.6,56.2,2.3
13,139,"Hall County, Georgia",160778,63.9,61.3,3.9
13,141,"Hancock County, Georgia",7580,35.6,33.4,6.2
13,143,"Haralson County, Georgia",23862,61.6,58.9,4.4
13,145,"Harris County, Georgia",28386,60.2,55.5,5.8
13,147,"Hart County, Georgia",21271,54.7,51.9,4.8
13,149,"Heard County, Georgia",9226,54.0,51.0,5.4
13,151,"Henry County, Georgia",188828,66.5,62.7,5.3
13,153,"Houston County, Georgia",127435,65.3,58.9,4.8
13,155,"Irwin County, Georgia",7834,53.3,50.0,6.2
13,157,"Jackson County, Georgia",59926,64.1,61.6,3.6
13,159,"Jasper County, Georgia",11855,58.6,54.8,6.1
13,161,"Jeff Davis County, Georgia",11554,52.5,50.1,4.1
13,163,"Jefferson County, Georgia",12346,52.9,50.6,4.5
13,165,"Jenkins County, Georgia",7262,42.6,40.5,4.9
13,167,"Johnson County, Georgia",7713,45.6,41.9,8.3
13,169,"Jones County, Georgia",22733,58.4,55.8,4.3
13,171,"Lamar County, Georgia",15257,56.1,52.7,5.4
13,173,"Lanier County, Georgia",8007,49.9,44.0,2.3
13,175,"Laurens County, Georgia",38558,53.4,50.5,5.5
13,177,"Lee County, Georgia",25525,65.7,62.2,4.4
13,179,"Liberty County, Georgia",49026,66.6,48.3,8.7
13,181,"Lincoln County, Georgia",6461,52.0,49.6,3.6
13,183,"Long County, Georgia",12732,61.9,54.0,4.5
13,185,"Lowndes County, Georgia",92830,60.1,53.6,5.1
13,187,"Lumpkin County, Georgia",28477,57.2,53.8,5.1
13,189,"McDuffie County, Georgia",16876,58.8,56.6,3.8
13,191,"McIntosh County, Georgia",9575,49.9,47.1,4.4
13,193,"Macon County, Georgia",10055,39.0,35.4,9.2
13,195,"Madison County, Georgia",24111,58.6,55.2,5.8
13,197,"Marion County, Georgia",6091,49.1,46.4,5.4
13,199,"Meriwether County, Georgia",16820,51.2,47.5,7.1
13,201,"Miller County, Georgia",4734,54.1,51.3,5.0
13,205,"Mitchell County, Georgia",17203,50.2,45.4,9.5
13,207,"Monroe County, Georgia",23202,59.0,56.7,3.8
13,209,"Montgomery County, Georgia",7082,52.0,48.5,6.5
13,211,"Morgan County, Georgia",16287,62.3,60.5,2.9
13,213,"Murray County, Georgia",31590,60.7,56.6,6.7
13,215,"Muscogee County, Georgia",159002,60.7,52.1,7.3
13,217,"Newton County, Georgia",87508,64.7,60.3,6.6
13,219,"Oconee County, Georgia",32609,65.4,63.5,2.9
13,221,"Oglethorpe County, Georgia",12133,61.3,58.3,4.5
13,223,"Paulding County, Georgia",131973,66.7,63.7,4.1
13,225,"Peach County, Georgia",22841,56.3,52.1,6.6
13,227,"Pickens County, Georgia",27928,57.8,54.9,4.5
13,229,"Pierce County, Georgia",15429,56.5,54.9,2.3
13,231,"Pike County, Georgia",15223,59.8,57.1,4.5
13,233,"Polk County, Georgia",33335,57.8,54.8,4.8
13,235,"Pulaski County, Georgia",8219,47.9,46.1,3.9
13,237,"Putnam County, Georgia",18713,51.7,49.5,3.2
13,239,"Quitman County, Georgia",1957,35.1,26.8,23.5
13,241,"Rabun County, Georgia",14612,48.2,46.9,2.6
13,243,"Randolph County, Georgia",4885,54.3,50.2,7.5
13,245,"Richmond County, Georgia",163866,61.9,52.9,8.3
13,247,"Rockdale County, Georgia",74145,62.3,58.4,6.0
13,249,"Schley County, Georgia",3686,52.8,51.0,3.5
13,251,"Screven County, Georgia",11351,56.4,51.9,7.2
13,253,"Seminole County, Georgia",7493,46.8,44.1,5.8
13,255,"Spalding County, Georgia",53286,56.6,53.3,5.6
13,257,"Stephens County, Georgia",21697,55.3,52.1,5.8
13,259,"Stewart County, Georgia",4663,33.6,31.7,5.1
13,261,"Sumter County, Georgia",23193,56.0,52.4,6.5
13,263,"Talbot County, Georgia",4948,51.8,49.6,4.3
13,265,"Taliaferro County, Georgia",1404,49.7,47.6,4.0
13,267,"Tattnall County, Georgia",19908,43.5,39.8,8.0
13,269,"Taylor County, Georgia",6425,50.3,46.9,6.6
13,271,"Telfair County, Georgia",9906,38.3,37.3,2.1
13,273,"Terrell County, Georgia",7118,51.8,46.4,8.7
13,275,"Thomas County, Georgia",35878,62.8,58.6,6.2
13,277,"Tift County, Georgia",32078,57.4,55.5,2.9
13,279,"Toombs County, Georgia",20641,52.6,49.2,6.2
13,281,"Towns County, Georgia",11180,43.8,41.4,5.5
13,283,"Treutlen County, Georgia",5160,48.3,43.1,10.9
13,285,"Troup County, Georgia",54306,60.2,57.1,4.8
13,287,"Turner County, Georgia",6944,51.7,48.1,7.0
13,289,"Twiggs County, Georgia",6601,43.3,41.8,3.4
13,291,"Union County, Georgia",21620,46.3,45.0,2.7
13,293,"Upson County, Georgia",22142,52.9,51.2,3.1
13,295,"Walker County, Georgia",55234,58.8,55.5,5.5
13,297,"Walton County, Georgia",77390,63.4,60.1,5.2
13,299,"Ware County, Georgia",27935,49.0,46.9,4.3
13,301,"Warren County, Georgia",4241,52.4,47.6,9.0
13,303,"Washington County, Georgia",16304,50.2,47.9,4.5
13,305,"Wayne County, Georgia",23826,50.9,47.6,6.2
13,307,"Webster County, Georgia",1965,55.5,50.5,8.9
13,309,"Wheeler County, Georgia",6538,45.2,42.3,6.4
13,311,"White County, Georgia",23479,55.6,53.7,3.5
13,313,"Whitfield County, Georgia",79767,63.0,59.4,5.7
13,315,"Wilcox County, Georgia",7388,41.5,39.2,5.3
13,317,"Wilkes County, Georgia",7864,52.0,50.4,2.9
13,319,"Wilkinson County, Georgia",7063,48.9,46.1,5.8
13,321,"Worth County, Georgia",16518,56.5,52.5,7.0
15,001,"Hawaii County, Hawaii",163829,58.8,54.7,6.5
15,003,"Honolulu County, Hawaii",820606,65.8,57.0,4.8
15,005,"Kalawao County, Hawaii",50,72.0,72.0,0.0
15,007,"Kauai County, Hawaii",59146,63.3,60.3,4.1
15,009,"Maui County, Hawaii",133241,65.2,61.2,5.4
16,001,"Ada County, Idaho",398021,66.5,64.1,3.2
16,003,"Adams County, Idaho",3770,50.7,46.3,8.7
16,005,"Bannock County, Idaho",67654,61.5,58.3,5.1
16,007,"Bear Lake County, Idaho",4956,57.4,54.9,4.3
16,009,"Benewah County, Idaho",7901,50.2,48.3,3.8
16,011,"Bingham County, Idaho",35708,64.6,60.6,6.1
16,013,"Blaine County, Idaho",19906,70.0,68.4,2.3
16,015,"Boise County, Idaho",6779,52.1,49.8,3.4
16,017,"Bonner County, Idaho",39783,52.1,50.3,3.5
16,019,"Bonneville County, Idaho",90945,64.8,61.6,4.6
16,021,"Boundary County, Idaho",9789,51.1,49.1,3.8
16,023,"Butte County, Idaho",2040,52.5,51.5,2.0
16,025,"Camas County, Idaho",841,62.3,59.2,5.0
16,027,"Canyon County, Idaho",177744,63.4,61.1,3.5
16,029,"Caribou County, Idaho",5444,63.9,61.8,2.8
16,031,"Cassia County, Idaho",18123,65.4,63.5,3.0
16,033,"Clark County, Idaho",631,65.3,64.0,1.9
16,035,"Clearwater County, Idaho",7643,45.6,43.6,4.4
16,037,"Custer County, Idaho",3739,49.7,48.8,1.7
16,039,"Elmore County, Idaho",22218,62.8,45.1,6.4
16,041,"Franklin County, Idaho",10510,62.6,61.9,1.1
16,043,"Fremont County, Idaho",10701,56.8,54.2,4.5
16,045,"Gem County, Idaho",15440,57.3,55.8,2.8
16,047,"Gooding County, Idaho",11853,62.8,60.6,3.5
16,049,"Idaho County, Idaho",13890,49.6,47.4,4.3
16,051,"Jefferson County, Idaho",22212,66.4,64.8,2.4
16,053,"Jerome County, Idaho",18005,66.1,63.6,3.5
16,055,"Kootenai County, Idaho",138605,60.7,58.8,3.1
16,057,"Latah County, Idaho",33364,61.3,58.0,5.3
16,059,"Lemhi County, Idaho",6814,52.5,50.3,3.1
16,061,"Lewis County, Idaho",2909,47.7,45.7,4.2
16,063,"Lincoln County, Idaho",4018,67.2,63.3,5.6
16,065,"Madison County, Idaho",43224,67.3,61.8,8.1
16,067,"Minidoka County, Idaho",16109,64.6,62.5,3.3
16,069,"Nez Perce County, Idaho",34113,60.3,58.1,3.2
16,071,"Oneida County, Idaho",3477,62.1,61.5,0.7
16,073,"Owyhee County, Idaho",9374,58.4,56.9,2.2
16,075,"Payette County, Idaho",19623,57.5,54.9,4.4
16,077,"Power County, Idaho",5738,68.1,63.0,7.5
16,079,"Shoshone County, Idaho",10887,54.1,51.3,5.0
16,081,"Teton County, Idaho",9405,74.3,73.1,1.6
16,083,"Twin Falls County, Idaho",69090,63.3,61.2,3.1
16,085,"Valley County, Idaho",9976,50.2,49.5,1.5
16,087,"Washington County, Idaho",8489,49.4,47.1,4.5
17,001,"Adams County, Illinois",52549,65.9,63.3,3.9
17,003,"Alexander County, Illinois",4225,48.0,43.6,9.3
17,005,"Bond County, Illinois",14109,53.1,50.6,4.3
17,007,"Boone County, Illinois",42461,66.0,60.9,7.7
17,009,"Brown County, Illinois",5389,45.8,44.9,2.1
17,011,"Bureau County, Illinois",27064,62.4,58.8,5.7
17,013,"Calhoun County, Illinois",3703,49.8,47.8,4.1
17,015,"Carroll County, Illinois",13184,54.3,51.5,4.9
17,017,"Cass County, Illinois",10188,61.2,57.9,5.4
17,019,"Champaign County, Illinois",171967,61.8,58.8,4.8
17,021,"Christian County, Illinois",27732,55.6,53.1,4.4
17,023,"Clark County, Illinois",12267,61.2,58.6,4.0
17,025,"Clay County, Illinois",10627,58.0,54.5,6.0
17,027,"Clinton County, Illinois",30151,62.9,60.6,3.0
17,029,"Coles County, Illinois",39522,63.8,59.2,6.9
17,031,"Cook County, Illinois",4231520,66.2,61.5,7.1
17,033,"Crawford County, Illinois",15473,55.4,53.5,3.3
17,035,"Cumberland County, Illinois",8413,66.9,65.7,1.9
17,037,"DeKalb County, Illinois",81367,68.3,63.5,7.0
17,039,"De Witt County, Illinois",12735,63.3,59.7,5.4
17,041,"Douglas County, Illinois",15498,64.3,62.2,3.0
17,043,"DuPage County, Illinois",748929,68.7,65.3,4.7
17,045,"Edgar County, Illinois",14032,56.2,53.6,4.6
17,047,"Edwards County, Illinois",4972,58.1,54.2,6.7
17,049,"Effingham County, Illinois",27184,66.4,64.7,2.5
17,051,"Fayette County, Illinois",17583,53.3,51.3,3.8
17,053,"Ford County, Illinois",10792,62.1,59.1,4.7
17,055,"Franklin County, Illinois",30435,55.9,52.2,6.7
17,057,"Fulton County, Illinois",27815,56.0,52.1,6.8
17,059,"Gallatin County, Illinois",4129,55.8,51.5,7.8
17,061,"Greene County, Illinois",9789,58.7,56.7,3.4
17,063,"Grundy County, Illinois",41136,68.1,65.2,4.2
17,065,"Hamilton County, Illinois",6414,55.1,52.6,4.4
17,067,"Hancock County, Illinois",14352,60.1,57.1,4.7
17,069,"Hardin County, Illinois",3226,39.2,38.1,2.6
17,071,"Henderson County, Illinois",5276,60.5,55.8,7.9
17,073,"Henry County, Illinois",39756,61.6,58.8,4.5
17,075,"Iroquois County, Illinois",22046,58.9,56.0,4.9
17,077,"Jackson County, Illinois",44428,57.7,52.9,8.1
17,079,"Jasper County, Illinois",7451,65.3,62.2,4.9
17,081,"Jefferson County, Illinois",29779,58.7,54.9,6.5
17,083,"Jersey County, Illinois",17828,59.9,57.8,3.4
17,085,"Jo Daviess County, Illinois",18305,60.9,59.2,2.7
17,087,"Johnson County, Illinois",10886,41.3,40.1,2.9
17,089,"Kane County, Illinois",406856,69.6,66.1,5.0
17,091,"Kankakee County, Illinois",86023,61.4,58.2,5.2
17,093,"Kendall County, Illinois",100410,72.3,69.2,4.3
17,095,"Knox County, Illinois",40852,53.4,50.7,4.9
17,097,"Lake County, Illinois",566968,68.3,63.1,5.0
17,099,"LaSalle County, Illinois",89362,62.8,59.3,5.4
17,101,"Lawrence County, Illinois",12785,51.1,47.1,7.8
17,103,"Lee County, Illinois",28296,56.0,54.1,3.5
17,105,"Livingston County, Illinois",29072,59.7,57.5,3.7
17,107,"Logan County, Illinois",23228,55.7,52.8,5.2
17,109,"McDonough County, Illinois",23165,60.5,55.6,8.0
17,111,"McHenry County, Illinois",248911,69.9,66.5,4.9
17,113,"McLean County, Illinois",138934,63.9,61.8,3.2
17,115,"Macon County, Illinois",82836,58.5,54.2,7.2
17,117,"Macoupin County, Illinois",36722,57.6,54.9,4.6
17,119,"Madison County, Illinois",215565,63.4,60.0,5.2
17,121,"Marion County, Illinois",29747,60.3,55.3,8.1
17,123,"Marshall County, Illinois",9589,56.4,54.0,4.2
17,125,"Mason County, Illinois",10720,57.2,54.2,5.2
17,127,"Massac County, Illinois",11403,52.1,50.1,3.7
17,129,"Menard County, Illinois",9848,63.1,59.8,4.9
17,131,"Mercer County, Illinois",12780,59.8,57.8,3.3
17,133,"Monroe County, Illinois",27980,68.2,66.8,1.7
17,135,"Montgomery County, Illinois",23350,52.3,49.3,5.6
17,137,"Morgan County, Illinois",27347,56.0,52.3,6.4
17,139,"Moultrie County, Illinois",11385,60.8,57.9,4.1
17,141,"Ogle County, Illinois",41650,63.6,59.8,6.0
17,143,"Peoria County, Illinois",142670,61.6,57.4,6.6
17,145,"Perry County, Illinois",17496,48.8,45.8,6.1
17,147,"Piatt County, Illinois",13418,64.7,61.6,4.7
17,149,"Pike County, Illinois",11739,57.5,54.8,4.7
17,151,"Pope County, Illinois",3235,43.7,39.7,9.1
17,153,"Pulaski County, Illinois",4254,43.6,41.8,4.2
17,155,"Putnam County, Illinois",4659,59.5,57.6,3.2
17,157,"Randolph County, Illinois",25155,52.9,50.0,5.2
17,159,"Richland County, Illinois",12624,62.7,60.1,4.2
17,161,"Rock Island County, Illinois",115453,61.9,57.9,6.2
17,163,"St. Clair County, Illinois",203998,64.2,58.9,5.7
17,165,"Saline County, Illinois",19332,55.9,52.6,5.9
17,167,"Sangamon County, Illinois",158061,62.1,58.7,5.2
17,169,"Schuyler County, Illinois",5779,55.4,51.7,6.7
17,171,"Scott County, Illinois",4009,57.7,56.1,2.9
17,173,"Shelby County, Illinois",17065,62.3,59.8,4.0
17,175,"Stark County, Illinois",4377,57.7,55.7,3.3
17,177,"Stephenson County, Illinois",36267,59.3,55.8,5.3
17,179,"Tazewell County, Illinois",105452,61.6,58.9,3.9
17,181,"Union County, Illinois",14087,51.4,48.2,6.3
17,183,"Vermilion County, Illinois",58702,55.6,51.8,6.7
17,185,"Wabash County, Illinois",9098,58.4,55.9,4.4
17,187,"Warren County, Illinois",13441,61.6,57.2,7.3
17,189,"Washington County, Illinois",11291,64.6,61.5,4.7
17,191,"Wayne County, Illinois",12903,58.0,55.7,3.6
17,193,"White County, Illinois",11212,55.1,53.2,3.5
17,195,"Whiteside County, Illinois",44889,62.0,59.2,4.4
17,197,"Will County, Illinois",550402,68.8,65.3,5.0
17,199,"Williamson County, Illinois",54384,58.7,55.9,4.4
17,201,"Winnebago County, Illinois",225789,62.2,57.6,7.5
17,203,"Woodford County, Illinois",30302,63.8,61.4,3.3
18,001,"Adams County, Indiana",25695,61.9,59.9,3.2
18,003,"Allen County, Indiana",298943,66.8,63.5,4.8
18,005,"Bartholomew County, Indiana",65146,65.2,62.6,3.6
18,007,"Benton County, Indiana",6765,62.6,60.3,3.7
18,009,"Blackford County, Indiana",9718,56.1,53.0,5.5
18,011,"Boone County, Indiana",54868,69.6,67.3,3.1
18,013,"Brown County, Indiana",13237,57.6,55.4,3.9
18,015,"Carroll County, Indiana",16450,60.2,58.4,3.1
18,017,"Cass County, Indiana",30393,62.9,60.1,4.2
18,019,"Clark County, Indiana",97643,66.3,63.8,3.7
18,021,"Clay County, Indiana",20931,58.8,56.1,4.3
18,023,"Clinton County, Indiana",25142,64.0,61.7,3.4
18,025,"Crawford County, Indiana",8412,53.3,51.4,3.6
18,027,"Daviess County, Indiana",24753,62.9,61.6,1.9
18,029,"Dearborn County, Indiana",40985,64.3,62.8,2.1
18,031,"Decatur County, Indiana",20761,66.5,64.2,3.1
18,033,"DeKalb County, Indiana",34070,65.6,62.7,4.3
18,035,"Delaware County, Indiana",94314,59.8,56.1,6.1
18,037,"Dubois County, Indiana",34184,67.9,66.5,1.9
18,039,"Elkhart County, Indiana",156775,65.6,63.1,3.8
18,041,"Fayette County, Indiana",19064,57.0,54.4,4.5
18,043,"Floyd County, Indiana",64442,64.2,61.5,3.9
18,045,"Fountain County, Indiana",13260,61.7,58.5,5.2
18,047,"Franklin County, Indiana",18369,64.4,63.0,2.1
18,049,"Fulton County, Indiana",16088,59.5,55.2,7.2
18,051,"Gibson County, Indiana",26112,62.5,60.7,2.8
18,053,"Grant County, Indiana",54303,58.8,54.5,7.3
18,055,"Greene County, Indiana",25182,58.0,54.1,6.7
18,057,"Hamilton County, Indiana",269614,71.3,69.1,2.7
18,059,"Hancock County, Indiana",63848,68.2,65.9,2.7
18,061,"Harrison County, Indiana",31925,60.4,57.9,3.8
18,063,"Hendricks County, Indiana",137798,69.8,68.0,2.4
18,065,"Henry County, Indiana",40063,54.0,51.4,4.5
18,067,"Howard County, Indiana",66758,59.4,55.7,5.8
18,069,"Huntington County, Indiana",29778,63.1,60.9,3.4
18,071,"Jackson County, Indiana",36353,63.1,61.4,2.7
18,073,"Jasper County, Indiana",26298,61.1,58.5,4.1
18,075,"Jay County, Indiana",15783,60.6,58.0,4.4
18,077,"Jefferson County, Indiana",27263,57.4,55.4,3.4
18,079,"Jennings County, Indiana",22043,62.8,59.5,5.0
18,081,"Johnson County, Indiana",127165,66.8,64.2,3.4
18,083,"Knox County, Indiana",29215,63.3,61.3,3.2
18,085,"Kosciusko County, Indiana",64055,65.8,63.6,3.3
18,087,"LaGrange County, Indiana",28985,63.7,61.7,3.2
18,089,"Lake County, Indiana",395865,61.5,57.3,6.7
18,091,"LaPorte County, Indiana",90824,57.8,54.9,5.0
18,093,"Lawrence County, Indiana",36835,60.1,58.1,3.3
18,095,"Madison County, Indiana",106027,59.4,56.1,5.5
18,097,"Marion County, Indiana",758376,67.5,63.7,5.5
18,099,"Marshall County, Indiana",36169,62.0,60.0,3.0
18,101,"Martin County, Indiana",7942,60.9,59.0,1.9
18,103,"Miami County, Indiana",29250,55.2,52.6,4.5
18,105,"Monroe County, Indiana",120479,62.3,58.6,5.8
18,107,"Montgomery County, Indiana",30438,63.9,61.3,4.0
18,109,"Morgan County, Indiana",57943,62.8,60.1,4.0
18,111,"Newton County, Indiana",11316,59.5,53.8,9.6
18,113,"Noble County, Indiana",37251,63.8,61.6,3.4
18,115,"Ohio County, Indiana",4891,58.9,57.8,1.8
18,117,"Orange County, Indiana",15851,61.0,59.1,3.0
18,119,"Owen County, Indiana",17492,60.2,57.0,5.2
18,121,"Parke County, Indiana",13121,51.6,48.6,5.6
18,123,"Perry County, Indiana",15640,57.1,54.1,5.1
18,125,"Pike County, Indiana",9965,58.0,55.9,3.6
18,127,"Porter County, Indiana",140602,62.1,59.4,4.2
18,129,"Posey County, Indiana",20366,62.2,60.4,2.8
18,131,"Pulaski County, Indiana",10060,61.9,59.5,3.8
18,133,"Putnam County, Indiana",30670,56.2,54.5,2.8
18,135,"Randolph County, Indiana",19541,60.2,56.7,5.6
18,137,"Ripley County, Indiana",23121,65.5,63.3,3.3
18,139,"Rush County, Indiana",13438,60.3,56.5,6.3
18,141,"St. Joseph County, Indiana",216056,63.8,60.7,4.8
18,143,"Scott County, Indiana",19507,58.5,55.7,4.8
18,145,"Shelby County, Indiana",35990,63.4,61.3,3.3
18,147,"Spencer County, Indiana",16168,62.6,60.4,3.3
18,149,"Starke County, Indiana",18540,53.7,51.6,4.0
18,151,"Steuben County, Indiana",28299,63.0,58.5,7.1
18,153,"Sullivan County, Indiana",17136,54.9,52.2,5.0
18,155,"Switzerland County, Indiana",7828,58.8,56.2,4.4
18,157,"Tippecanoe County, Indiana",153396,62.1,59.9,3.6
18,159,"Tipton County, Indiana",12513,62.2,59.7,3.8
18,161,"Union County, Indiana",5752,65.4,62.0,5.1
18,163,"Vanderburgh County, Indiana",145503,64.4,61.4,4.7
18,165,"Vermillion County, Indiana",12542,58.8,54.4,7.5
18,167,"Vigo County, Indiana",87254,59.8,55.9,6.1
18,169,"Wabash County, Indiana",25227,59.2,57.1,3.5
18,171,"Warren County, Indiana",6760,62.2,60.3,3.1
18,173,"Warrick County, Indiana",51159,63.9,61.7,3.3
18,175,"Washington County, Indiana",22491,61.1,58.5,4.2
18,177,"Wayne County, Indiana",53339,59.9,57.2,4.5
18,179,"Wells County, Indiana",22136,66.5,64.8,2.4
18,181,"White County, Indiana",19535,60.7,58.0,4.4
18,183,"Whitley County, Indiana",27347,65.4,62.8,4.0
19,001,"Adair County, Iowa",6006,63.3,60.8,3.9
19,003,"Adams County, Iowa",2977,61.8,59.2,4.2
19,005,"Allamakee County, Iowa",11118,63.8,61.8,3.2
19,007,"Appanoose County, Iowa",9854,53.9,50.6,6.1
19,009,"Audubon County, Iowa",4531,63.2,62.6,0.7
19,011,"Benton County, Iowa",20422,66.2,64.6,2.3
19,013,"Black Hawk County, Iowa",105716,66.5,63.0,5.2
19,015,"Boone County, Iowa",21915,65.8,64.7,1.3
19,017,"Bremer County, Iowa",20024,66.7,64.6,3.2
19,019,"Buchanan County, Iowa",16033,67.2,65.1,3.0
19,021,"Buena Vista County, Iowa",15963,68.3,64.9,5.0
19,023,"Butler County, Iowa",11538,62.1,59.6,3.9
19,025,"Calhoun County, Iowa",7957,54.7,53.2,2.7
19,027,"Carroll County, Iowa",16466,66.6,65.3,1.9
19,029,"Cass County, Iowa",10636,62.2,61.3,1.4
19,031,"Cedar County, Iowa",15008,66.7,64.7,3.0
19,033,"Cerro Gordo County, Iowa",35112,64.6,62.6,3.0
19,035,"Cherokee County, Iowa",9419,65.3,63.2,3.2
19,037,"Chickasaw County, Iowa",9459,67.4,66.0,2.1
19,039,"Clarke County, Iowa",7534,63.6,60.5,3.9
19,041,"Clay County, Iowa",13036,67.4,64.6,4.1
19,043,"Clayton County, Iowa",13931,63.5,61.8,2.6
19,045,"Clinton County, Iowa",37318,60.8,57.9,4.4
19,047,"Crawford County, Iowa",12937,63.7,61.1,4.1
19,049,"Dallas County, Iowa",75882,75.4,73.0,3.0
19,051,"Davis County, Iowa",6690,62.6,61.4,2.0
19,053,"Decatur County, Iowa",6146,59.1,56.6,4.2
19,055,"Delaware County, Iowa",13793,71.1,69.5,2.2
19,057,"Des Moines County, Iowa",31393,61.0,59.2,2.9
19,059,"Dickinson County, Iowa",14770,64.9,63.5,2.1
19,061,"Dubuque County, Iowa",79456,67.4,64.6,4.1
19,063,"Emmet County, Iowa",7786,64.0,62.6,2.1
19,065,"Fayette County, Iowa",15824,60.6,58.3,3.7
19,067,"Floyd County, Iowa",12561,61.1,59.1,3.3
19,069,"Franklin County, Iowa",7890,62.4,60.0,3.8
19,071,"Fremont County, Iowa",5375,59.6,58.2,1.7
19,073,"Greene County, Iowa",7096,63.8,61.5,3.6
19,075,"Grundy County, Iowa",9791,65.7,64.1,2.5
19,077,"Guthrie County, Iowa",8613,63.9,61.8,3.3
19,079,"Hamilton County, Iowa",12002,63.3,60.5,4.0
19,081,"Hancock County, Iowa",8758,65.0,63.7,2.1
19,083,"Hardin County, Iowa",14104,61.5,59.4,3.5
19,085,"Harrison County, Iowa",11644,65.2,63.4,2.7
19,087,"Henry County, Iowa",16750,59.8,58.2,2.7
19,089,"Howard County, Iowa",7327,65.4,64.4,1.5
19,091,"Humboldt County, Iowa",7553,64.1,62.5,2.5
19,093,"Ida County, Iowa",5515,65.3,63.7,2.0
19,095,"Iowa County, Iowa",13145,66.8,64.5,3.2
19,097,"Jackson County, Iowa",15738,62.2,59.6,4.2
19,099,"Jasper County, Iowa",30437,63.2,60.0,4.8
19,101,"Jefferson County, Iowa",13431,59.7,56.6,5.2
19,103,"Johnson County, Iowa",126731,69.7,66.9,3.8
19,105,"Jones County, Iowa",16956,61.0,59.0,3.1
19,107,"Keokuk County, Iowa",8032,59.8,57.7,3.6
19,109,"Kossuth County, Iowa",11916,61.5,59.2,3.8
19,111,"Lee County, Iowa",27019,58.4,55.6,4.6
19,113,"Linn County, Iowa",183450,68.8,66.1,3.8
19,115,"Louisa County, Iowa",8665,65.0,62.1,4.4
19,117,"Lucas County, Iowa",6968,61.3,58.9,3.9
19,119,"Lyon County, Iowa",8977,66.8,65.1,2.4
19,121,"Madison County, Iowa",12995,71.5,69.7,2.3
19,123,"Mahaska County, Iowa",17448,65.8,63.6,3.3
19,125,"Marion County, Iowa",26517,64.9,63.2,2.3
19,127,"Marshall County, Iowa",30991,66.8,63.1,5.6
19,129,"Mills County, Iowa",11527,62.7,58.5,4.4
19,131,"Mitchell County, Iowa",8368,68.4,67.8,0.9
19,133,"Monona County, Iowa",6988,61.0,59.4,2.6
19,135,"Monroe County, Iowa",6011,62.1,60.0,3.4
19,137,"Montgomery County, Iowa",8206,60.7,58.0,4.5
19,139,"Muscatine County, Iowa",33886,65.3,62.7,3.5
19,141,"O'Brien County, Iowa",11139,64.0,62.4,2.4
19,143,"Osceola County, Iowa",4927,66.0,62.9,4.5
19,145,"Page County, Iowa",12710,57.5,53.8,6.6
19,147,"Palo Alto County, Iowa",7043,66.2,63.8,3.6
19,149,"Plymouth County, Iowa",20037,69.5,67.8,2.1
19,151,"Pocahontas County, Iowa",5657,62.6,58.6,6.3
19,153,"Polk County, Iowa",386736,71.1,67.7,4.5
19,155,"Pottawattamie County, Iowa",74514,63.8,61.5,3.6
19,157,"Poweshiek County, Iowa",15469,62.5,59.6,4.6
19,159,"Ringgold County, Iowa",3704,62.9,61.4,1.7
19,161,"Sac County, Iowa",7836,65.3,63.2,3.2
19,163,"Scott County, Iowa",138382,65.9,63.1,4.0
19,165,"Shelby County, Iowa",9497,64.4,62.8,2.5
19,167,"Sioux County, Iowa",27216,71.9,70.1,2.3
19,169,"Story County, Iowa",84617,66.7,62.9,5.6
19,171,"Tama County, Iowa",13422,63.8,60.8,4.5
19,173,"Taylor County, Iowa",4728,64.5,62.4,3.2
19,175,"Union County, Iowa",9761,60.9,57.4,5.7
19,177,"Van Buren County, Iowa",5758,55.9,53.1,4.9
19,179,"Wapello County, Iowa",27992,61.6,58.8,4.4
19,181,"Warren County, Iowa",41445,69.0,66.6,3.2
19,183,"Washington County, Iowa",17739,67.8,66.0,2.6
19,185,"Wayne County, Iowa",4993,58.2,57.3,1.6
19,187,"Webster County, Iowa",30344,60.5,58.5,3.2
19,189,"Winnebago County, Iowa",8726,64.6,63.0,2.5
19,191,"Winneshiek County, Iowa",16861,66.3,65.0,2.1
19,193,"Woodbury County, Iowa",81389,68.2,65.0,4.5
19,195,"Worth County, Iowa",6006,68.7,66.5,3.3
19,197,"Wright County, Iowa",10040,59.3,58.0,2.2
20,001,"Allen County, Kansas",10087,60.7,56.3,7.3
